,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPointcl,Trange,SatT
588,1,2008-08-19,82.0,63.0,73.0,2.0,64.0,67.0,0.0,8.0,0503,1848, ,0.0,0.0,0.0,29.38,30.08,5.9,4,6.7,0,19.0,9.0
590,1,2008-08-20,81.0,65.0,73.0,2.0,60.0,65.0,0.0,8.0,0504,1846, ,0.0,0.0,0.0,29.4,30.12,6.0,9,7.4,0,16.0,13.0
592,1,2008-08-21,82.0,68.0,75.0,4.0,61.0,66.0,0.0,10.0,0505,1845,RA,0.0,0.0,0.1,29.31,30.03,6.5,15,8.4,0,14.0,14.0
594,1,2008-08-22,83.0,72.0,78.0,7.0,68.0,71.0,0.0,13.0,0506,1843,TSRA BR HZ,0.0,0.0,0.09,29.32,30.03,12.7,19,12.8,1,11.0,10.0
596,1,2008-08-23,87.0,68.0,78.0,7.0,66.0,70.0,0.0,13.0,0508,1842,BR,0.0,0.0,0.0,29.31,30.02,7.6,25,9.4,1,19.0,12.0
598,1,2008-08-24,77.0,63.0,70.0,-1.0,57.0,62.0,0.0,5.0,0509,1840, ,0.0,0.0,0.0,29.34,30.05,7.7,3,9.7,0,14.0,13.0
600,1,2008-08-25,74.0,64.0,69.0,-1.0,54.0,60.0,0.0,4.0,0510,1839, ,0.0,0.0,0.0,29.36,30.08,11.1,5,11.4,0,10.0,15.0
602,1,2008-08-26,76.0,61.0,69.0,-1.0,54.0,60.0,0.0,4.0,0511,1837, ,0.0,0.0,0.0,29.29,30.03,7.7,7,8.4,0,15.0,15.0
604,1,2008-08-27,83.0,61.0,72.0,2.0,56.0,63.0,0.0,7.0,0512,1835, ,0.0,0.0,0.0,29.2,29.93,4.6,7,5.9,0,22.0,16.0
606,1,2008-08-28,80.0,63.0,72.0,2.0,64.0,67.0,0.0,7.0,0513,1834,RA BR,0.0,0.0,0.06,29.1,29.82,5.7,19,6.7,0,17.0,8.0
608,1,2008-08-29,85.0,64.0,75.0,5.0,58.0,65.0,0.0,10.0,0514,1832,RA BR,0.0,0.0,0.04,29.24,29.93,3.5,35,6.5,0,21.0,17.0
610,1,2008-08-30,87.0,56.0,72.0,2.0,55.0,62.0,0.0,7.0,0515,1831, ,0.0,0.0,0.0,29.39,30.09,2.6,24,3.8,0,31.0,17.0
612,1,2008-08-31,90.0,60.0,75.0,6.0,56.0,64.0,0.0,10.0,0516,1829, ,0.0,0.0,0.0,29.41,30.13,4.8,13,5.4,0,30.0,19.0
614,1,2008-09-01,90.0,62.0,76.0,8.0,54.0,63.0,0.0,11.0,0517,1827, ,0.0,0.0,0.0,29.37,30.09,7.0,14,7.7,0,28.0,22.0
616,1,2008-09-02,94.0,65.0,80.0,12.0,61.0,68.0,0.0,15.0,0518,1826,TS,0.0,0.0,0.0,29.31,30.02,3.2,21,4.4,0,29.0,19.0
618,1,2008-09-03,77.0,66.0,72.0,4.0,60.0,64.0,0.0,7.0,0519,1824,TSRA,0.0,0.0,0.02,29.31,30.02,9.8,1,10.4,0,11.0,12.0
620,1,2008-09-04,67.0,61.0,64.0,-4.0,61.0,62.0,1.0,0.0,0520,1822,RA BR,0.0,0.0,2.9,29.08,29.82,11.6,3,12.4,0,6.0,3.0
622,1,2008-09-05,70.0,57.0,64.0,-3.0,56.0,59.0,1.0,0.0,0521,1821, ,0.0,0.0,0.0,29.22,29.93,5.9,34,6.9,0,13.0,8.0
624,1,2008-09-06,74.0,53.0,64.0,-3.0,54.0,58.0,1.0,0.0,0522,1819,BR,0.0,0.0,0.01,29.28,29.98,4.9,27,5.3,0,21.0,10.0
626,1,2008-09-07,74.0,55.0,65.0,-2.0,51.0,57.0,0.0,0.0,0523,1817, ,0.0,0.0,0.0,29.35,30.06,6.4,26,6.6,0,19.0,14.0
628,1,2008-09-08,67.0,52.0,60.0,-6.0,52.0,55.0,5.0,0.0,0524,1815,RA BR,0.0,0.0,1.23,29.41,30.11,4.6,34,6.2,0,15.0,8.0
630,1,2008-09-09,69.0,49.0,59.0,-7.0,45.0,52.0,6.0,0.0,0525,1814, ,0.0,0.0,0.0,29.45,30.17,3.9,36,6.4,0,20.0,14.0
632,1,2008-09-10,72.0,48.0,60.0,-6.0,48.0,54.0,5.0,0.0,0526,1812, ,0.0,0.0,0.0,29.47,30.21,4.3,14,5.1,0,24.0,12.0
634,1,2008-09-11,79.0,55.0,67.0,2.0,57.0,61.0,0.0,2.0,0527,1810,RA BR,0.0,0.0,0.1,29.33,30.08,8.9,18,9.8,0,24.0,10.0
636,1,2008-09-12,73.0,69.0,71.0,6.0,67.0,68.0,0.0,6.0,0528,1809,RA DZ BR,0.0,0.0,0.37,29.22,29.96,6.0,22,6.8,1,4.0,4.0
638,1,2008-09-13,75.0,68.0,72.0,7.0,69.0,70.0,0.0,7.0,0529,1807,RA BR,0.0,0.0,6.64,28.97,29.71,6.4,21,9.1,1,7.0,3.0
640,1,2008-09-14,72.0,58.0,65.0,1.0,61.0,62.0,0.0,0.0,0530,1805,RA BR,0.0,0.0,1.44,28.97,29.67,7.7,31,10.1,0,14.0,4.0
642,1,2008-09-15,63.0,53.0,58.0,-6.0,51.0,55.0,7.0,0.0,0531,1803, ,0.0,0.0,0.1,29.41,30.1,5.7,34,6.1,0,10.0,7.0
644,1,2008-09-16,71.0,49.0,60.0,-4.0,50.0,55.0,5.0,0.0,0532,1760, ,0.0,0.0,0.0,29.47,30.19,5.3,23,5.8,0,22.0,10.0
646,1,2008-09-17,82.0,57.0,70.0,6.0,56.0,60.0,0.0,5.0,0533,1758, ,0.0,0.0,0.0,29.46,30.18,2.1,29,7.0,0,25.0,14.0
648,1,2008-09-18,74.0,56.0,65.0,1.0,55.0,60.0,0.0,0.0,0535,1756, ,0.0,0.0,0.0,29.56,30.28,6.1,9,7.2,0,18.0,10.0
650,1,2008-09-19,77.0,54.0,66.0,3.0,54.0,59.0,0.0,1.0,0536,1755, ,0.0,0.0,0.0,29.47,30.2,5.8,19,6.0,0,23.0,12.0
652,1,2008-09-20,82.0,56.0,69.0,7.0,57.0,61.0,0.0,4.0,0537,1753, ,0.0,0.0,0.0,29.46,30.17,1.7,16,2.9,0,26.0,12.0
654,1,2008-09-21,80.0,58.0,69.0,7.0,61.0,64.0,0.0,4.0,0538,1751,FG+ BR HZ,0.0,0.0,0.0,29.55,30.26,3.8,5,4.2,0,22.0,8.0
656,1,2008-09-22,81.0,61.0,71.0,9.0,59.0,64.0,0.0,6.0,0539,1749,BR HZ,0.0,0.0,0.0,29.59,30.31,6.9,11,8.0,0,20.0,12.0
658,1,2008-09-23,82.0,59.0,71.0,10.0,57.0,62.0,0.0,6.0,0540,1748, ,0.0,0.0,0.0,29.56,30.29,7.0,15,7.7,0,23.0,14.0
660,1,2008-09-24,82.0,57.0,70.0,9.0,59.0,63.0,0.0,5.0,0541,1746,TS TSRA BR HZ,0.0,0.0,0.2,29.54,30.27,2.6,23,4.6,0,25.0,11.0
662,1,2008-09-25,77.0,63.0,70.0,9.0,61.0,64.0,0.0,5.0,0542,1744,BR HZ,0.0,0.0,0.0,29.54,30.27,6.9,4,7.5,0,14.0,9.0
664,1,2008-09-26,79.0,59.0,69.0,9.0,55.0,60.0,0.0,4.0,0543,1742,BR,0.0,0.0,0.0,29.42,30.16,3.0,6,4.3,0,20.0,14.0
666,1,2008-09-27,81.0,53.0,67.0,7.0,54.0,60.0,0.0,2.0,0544,1741,BR,0.0,0.0,0.0,29.33,30.06,1.0,3,2.7,0,28.0,13.0
668,1,2008-09-28,68.0,57.0,63.0,4.0,57.0,60.0,2.0,0.0,0545,1739, ,0.0,0.0,0.0,29.41,30.13,7.2,4,7.8,0,11.0,6.0
670,1,2008-09-29,64.0,54.0,59.0,0.0,55.0,57.0,6.0,0.0,0546,1737,RA BR,0.0,0.0,0.82,29.26,30.0,3.5,33,4.8,0,10.0,4.0
672,1,2008-09-30,59.0,48.0,54.0,-5.0,44.0,49.0,11.0,0.0,0547,1735, ,0.0,0.0,0.0,29.21,29.95,11.4,31,11.5,0,11.0,10.0
674,1,2008-10-01,61.0,46.0,54.0,-4.0,40.0,47.0,11.0,0.0,0548,1734, ,0.0,0.0,0.0,29.24,29.97,11.2,33,11.1,0,15.0,14.0
676,1,2008-10-02,61.0,42.0,52.0,-6.0,40.0,47.0,13.0,0.0,0549,1732, ,0.0,0.0,0.0,29.18,29.91,8.7,28,9.2,0,19.0,12.0
678,1,2008-10-03,60.0,44.0,52.0,-5.0,42.0,47.0,13.0,0.0,0550,1730,RA,0.0,0.0,0.01,29.34,30.05,6.5,3,7.7,0,16.0,10.0
680,1,2008-10-04,61.0,38.0,50.0,-7.0,38.0,45.0,15.0,0.0,0552,1729, ,0.0,0.0,0.0,29.51,30.23,3.2,11,4.4,0,23.0,12.0
682,1,2008-10-05,61.0,41.0,51.0,-6.0,43.0,48.0,14.0,0.0,0553,1727,RA,0.0,0.0,0.06,29.51,30.25,5.6,11,6.6,0,20.0,8.0
684,1,2008-10-06,69.0,54.0,62.0,6.0,47.0,54.0,3.0,0.0,0554,1725, ,0.0,0.0,0.0,29.49,30.23,10.5,11,10.7,0,15.0,15.0
686,1,2008-10-07,63.0,56.0,60.0,4.0,52.0,56.0,5.0,0.0,0555,1724,RA BR,0.0,0.0,0.8,29.24,30.01,10.3,13,11.3,0,7.0,8.0
688,1,2008-10-08,64.0,50.0,57.0,1.0,51.0,54.0,8.0,0.0,0556,1722,RA BR,0.0,0.0,0.19,29.13,29.85,7.5,26,8.1,0,14.0,6.0
690,1,2008-10-09,69.0,47.0,58.0,3.0,38.0,49.0,7.0,0.0,0557,1720, ,0.0,0.0,0.0,29.36,30.05,5.5,29,5.8,0,22.0,20.0
692,1,2008-10-10,72.0,42.0,57.0,2.0,42.0,50.0,8.0,0.0,0558,1719, ,0.0,0.0,0.0,29.47,30.18,4.8,11,6.7,0,30.0,15.0
694,1,2008-10-11,79.0,51.0,65.0,11.0,50.0,57.0,0.0,0.0,0559,1717, ,0.0,0.0,0.0,29.52,30.24,4.2,14,5.0,0,28.0,15.0
696,1,2008-10-12,84.0,57.0,71.0,17.0,56.0,61.0,0.0,6.0,0600,1715,BR,0.0,0.0,0.0,29.55,30.27,4.3,15,5.1,0,27.0,15.0
698,1,2008-10-13,77.0,61.0,69.0,16.0,58.0,63.0,0.0,4.0,0602,1714, ,0.0,0.0,0.0,29.47,30.21,7.7,20,8.1,0,16.0,11.0
700,1,2008-10-14,69.0,53.0,61.0,8.0,43.0,51.0,4.0,0.0,0603,1712,RA,0.0,0.0,0.1,29.49,30.22,2.0,30,6.8,0,16.0,18.0
702,1,2008-10-15,63.0,47.0,55.0,2.0,50.0,53.0,10.0,0.0,0604,1711,RA BR,0.0,0.0,0.3,29.34,30.06,4.2,32,6.3,0,16.0,5.0
704,1,2008-10-16,59.0,43.0,51.0,-1.0,38.0,44.0,14.0,0.0,0605,1709, ,0.0,0.0,0.0,29.52,30.25,6.1,35,7.5,0,16.0,13.0
706,1,2008-10-17,57.0,43.0,50.0,-2.0,39.0,44.0,15.0,0.0,0606,1707, ,0.0,0.0,0.0,29.53,30.26,6.2,36,7.2,0,14.0,11.0
708,1,2008-10-18,60.0,43.0,52.0,1.0,40.0,45.0,13.0,0.0,0607,1706,RA BR,0.0,0.0,0.05,29.58,30.32,2.1,7,6.1,0,17.0,12.0
710,1,2008-10-19,62.0,40.0,51.0,0.0,37.0,45.0,14.0,0.0,0608,1704, ,0.0,0.0,0.0,29.49,30.24,12.0,19,12.4,0,22.0,14.0
712,1,2008-10-20,55.0,43.0,49.0,-1.0,42.0,46.0,16.0,0.0,0610,1703,RA BR,0.0,0.0,0.18,29.48,30.21,4.0,31,7.6,0,12.0,7.0
714,1,2008-10-21,55.0,38.0,47.0,-3.0,35.0,42.0,18.0,0.0,0611,1701, ,0.0,0.0,0.0,29.64,30.37,7.1,2,8.7,0,17.0,12.0
716,1,2008-10-22,52.0,35.0,44.0,-6.0,30.0,40.0,21.0,0.0,0612,1660, ,0.0,0.0,0.0,29.65,30.39,12.1,12,13.1,0,17.0,14.0
718,1,2008-10-23,58.0,41.0,50.0,1.0,36.0,44.0,15.0,0.0,0613,1658,RA,0.0,0.0,0.16,29.5,30.27,11.5,12,11.8,0,17.0,14.0
720,1,2008-10-24,54.0,44.0,49.0,0.0,44.0,47.0,16.0,0.0,0614,1657,TSRA RA BR,0.0,0.0,0.32,29.18,29.96,5.3,19,6.1,0,10.0,5.0
722,1,2008-10-25,53.0,43.0,48.0,0.0,40.0,44.0,17.0,0.0,0616,1656,RA DZ BR,0.0,0.0,0.1,29.02,29.77,11.9,22,12.3,0,10.0,8.0
724,1,2008-10-26,56.0,37.0,47.0,-1.0,32.0,41.0,18.0,0.0,0617,1654,RA,0.0,0.1,0.1,29.1,29.8,17.2,27,17.8,0,19.0,15.0
726,1,2008-10-27,47.0,33.0,40.0,-8.0,27.0,35.0,25.0,0.0,0618,1653, ,0.0,0.1,0.1,29.51,30.2,13.7,31,14.4,0,14.0,13.0
728,1,2008-10-28,45.0,31.0,38.0,-9.0,23.0,33.0,27.0,0.0,0619,1651, ,0.0,0.0,0.0,29.54,30.29,10.5,30,10.9,0,14.0,15.0
730,1,2008-10-29,51.0,32.0,42.0,-5.0,24.0,34.0,23.0,0.0,0620,1650, ,0.0,0.0,0.0,29.47,30.21,3.7,32,6.2,0,19.0,18.0
732,1,2008-10-30,62.0,31.0,47.0,1.0,32.0,41.0,18.0,0.0,0622,1649, ,0.0,0.0,0.0,29.57,30.31,10.5,19,10.4,0,31.0,15.0
734,1,2008-10-31,70.0,48.0,59.0,13.0,46.0,51.0,6.0,0.0,0623,1647, ,0.0,0.0,0.0,29.57,30.3,5.7,22,7.4,0,22.0,13.0
736,1,2009-05-01,60.0,46.0,53.0,0.0,40.0,47.0,12.0,0.0,0448,1849,RA,0.0,0.0,0.02,29.26,29.98,8.4,29,8.5,0,14.0,13.0
738,1,2009-05-02,66.0,44.0,55.0,1.0,33.0,45.0,10.0,0.0,0447,1850, ,0.0,0.0,0.0,29.21,29.94,8.8,26,9.2,0,22.0,22.0
740,1,2009-05-03,70.0,43.0,57.0,3.0,34.0,47.0,8.0,0.0,0446,1851, ,0.0,0.0,0.0,29.19,29.92,3.9,26,4.9,0,27.0,23.0
742,1,2009-05-04,70.0,43.0,57.0,3.0,34.0,47.0,8.0,0.0,0444,1852, ,0.0,0.0,0.0,29.31,30.02,6.5,9,7.6,0,27.0,23.0
744,1,2009-05-05,71.0,49.0,60.0,5.0,40.0,50.0,5.0,0.0,0443,1853, ,0.0,0.0,0.0,29.22,29.95,5.5,13,6.0,0,22.0,20.0
746,1,2009-05-06,75.0,51.0,63.0,8.0,51.0,55.0,2.0,0.0,0442,1855,RA BR,0.0,0.0,0.67,29.05,29.79,6.5,19,8.1,0,24.0,12.0
748,1,2009-05-07,77.0,56.0,67.0,12.0,52.0,57.0,0.0,2.0,0441,1856,RA BR HZ,0.0,0.0,0.19,29.01,29.73,8.5,25,10.3,0,21.0,15.0
750,1,2009-05-08,77.0,53.0,65.0,9.0,53.0,58.0,0.0,0.0,0439,1857,TSRA RA,0.0,0.0,0.02,28.94,29.68,4.9,21,6.0,0,24.0,12.0
752,1,2009-05-09,63.0,46.0,55.0,-1.0,44.0,48.0,10.0,0.0,0438,1858, ,0.0,0.0,0.1,29.19,29.87,6.8,29,11.8,0,17.0,11.0
754,1,2009-05-10,67.0,40.0,54.0,-2.0,39.0,46.0,11.0,0.0,0437,1859, ,0.0,0.0,0.0,29.41,30.11,4.7,30,8.4,0,27.0,15.0
756,1,2009-05-11,61.0,39.0,50.0,-7.0,35.0,44.0,15.0,0.0,0436,1860, ,0.0,0.0,0.0,29.47,30.2,0.7,8,4.6,0,22.0,15.0
758,1,2009-05-12,71.0,39.0,55.0,-2.0,34.0,47.0,10.0,0.0,0435,1901, ,0.0,0.0,0.0,29.38,30.13,9.5,16,9.6,0,32.0,21.0
760,1,2009-05-13,70.0,53.0,62.0,4.0,56.0,58.0,3.0,0.0,0434,1902,TSRA RA BR,0.0,0.0,0.55,29.01,29.76,14.4,19,16.4,0,17.0,6.0
762,1,2009-05-14,68.0,53.0,61.0,3.0,44.0,52.0,4.0,0.0,0433,1903, ,0.0,0.0,0.0,29.31,30.0,10.5,27,10.7,0,15.0,17.0
764,1,2009-05-15,61.0,52.0,57.0,-1.0,51.0,54.0,8.0,0.0,0432,1904,RA BR,0.0,0.0,0.39,29.28,30.0,6.0,16,8.8,0,9.0,6.0
766,1,2009-05-16,62.0,45.0,54.0,-5.0,40.0,49.0,11.0,0.0,0431,1905,BR,0.0,0.0,0.0,29.36,30.05,11.0,29,12.5,0,17.0,14.0
768,1,2009-05-17,63.0,39.0,51.0,-8.0,27.0,42.0,14.0,0.0,0430,1906, ,0.0,0.0,0.0,29.6,30.32,0.2,33,6.2,0,24.0,24.0
770,1,2009-05-18,66.0,40.0,53.0,-7.0,33.0,45.0,12.0,0.0,0429,1907, ,0.0,0.0,0.1,29.54,30.29,9.6,19,9.9,0,26.0,20.0
772,1,2009-05-19,80.0,52.0,66.0,6.0,44.0,55.0,0.0,1.0,0428,1908, ,0.0,0.0,0.0,29.48,30.21,13.5,21,13.8,0,28.0,22.0
774,1,2009-05-20,84.0,61.0,73.0,12.0,44.0,57.0,0.0,8.0,0427,1909, ,0.0,0.0,0.0,29.4,30.13,14.4,20,14.6,0,23.0,29.0
776,1,2009-05-21,84.0,60.0,72.0,11.0,49.0,59.0,0.0,7.0,0426,1910, ,0.0,0.0,0.0,29.38,30.09,7.8,23,12.8,0,24.0,23.0
778,1,2009-05-22,69.0,53.0,61.0,0.0,46.0,53.0,4.0,0.0,0425,1911, ,0.0,0.0,0.0,29.46,30.18,10.4,4,10.7,0,16.0,15.0
780,1,2009-05-23,80.0,50.0,65.0,4.0,50.0,57.0,0.0,0.0,0425,1912, ,0.0,0.0,0.0,29.33,30.06,4.5,7,5.7,0,30.0,15.0
782,1,2009-05-24,71.0,55.0,63.0,1.0,46.0,53.0,2.0,0.0,0424,1913, ,0.0,0.0,0.0,29.34,30.07,10.4,4,11.0,0,16.0,17.0
784,1,2009-05-25,67.0,54.0,61.0,-1.0,43.0,51.0,4.0,0.0,0423,1914,RA DZ,0.0,0.0,0.04,29.28,30.02,10.3,6,10.8,0,13.0,18.0
786,1,2009-05-26,74.0,53.0,64.0,2.0,51.0,55.0,1.0,0.0,0422,1915,TSRA RA BR,0.0,0.0,1.73,29.08,29.82,7.5,5,7.8,0,21.0,13.0
788,1,2009-05-27,73.0,55.0,64.0,2.0,58.0,60.0,1.0,0.0,0422,1916,DZ BR HZ,0.0,0.0,0.02,28.95,29.68,3.6,24,7.2,0,18.0,6.0
790,1,2009-05-28,62.0,54.0,58.0,-5.0,51.0,54.0,7.0,0.0,0421,1916, ,0.0,0.0,0.0,29.06,29.76,6.8,30,8.1,0,8.0,7.0
792,1,2009-05-29,74.0,50.0,62.0,-2.0,49.0,55.0,3.0,0.0,0421,1917, ,0.0,0.0,0.1,29.17,29.88,2.7,32,6.9,0,24.0,13.0
794,1,2009-05-30,79.0,50.0,65.0,1.0,46.0,54.0,0.0,0.0,0420,1918,RA,0.0,0.0,0.1,29.09,29.81,2.9,27,6.8,0,29.0,19.0
796,1,2009-05-31,73.0,45.0,59.0,-5.0,41.0,50.0,6.0,0.0,0420,1919, ,0.0,0.0,0.0,29.21,29.94,2.7,10,4.6,0,28.0,18.0
798,1,2009-06-01,78.0,51.0,65.0,1.0,53.0,57.0,0.0,0.0,0419,1920,TSRA RA,0.0,0.0,0.44,29.19,29.89,1.2,34,11.1,0,27.0,12.0
800,1,2009-06-02,60.0,48.0,54.0,-10.0,46.0,50.0,11.0,0.0,0419,1920,RA BR,0.0,0.0,0.12,29.36,30.09,7.4,3,8.0,0,12.0,8.0
802,1,2009-06-03,61.0,43.0,52.0,-12.0,39.0,46.0,13.0,0.0,0418,1921, ,0.0,0.0,0.0,29.42,30.15,10.5,4,10.7,0,18.0,13.0
804,1,2009-06-04,68.0,42.0,55.0,-9.0,37.0,48.0,10.0,0.0,0418,1922, ,0.0,0.0,0.0,29.31,30.05,4.7,4,5.9,0,26.0,18.0
806,1,2009-06-05,79.0,44.0,62.0,-3.0,44.0,54.0,3.0,0.0,0417,1923, ,0.0,0.0,0.0,29.18,29.91,5.8,26,6.7,0,35.0,18.0
808,1,2009-06-06,63.0,51.0,57.0,-9.0,45.0,50.0,8.0,0.0,0417,1923, ,0.0,0.0,0.02,29.2,29.93,6.2,5,7.7,0,12.0,12.0
810,1,2009-06-07,73.0,52.0,63.0,-3.0,53.0,57.0,2.0,0.0,0417,1924,BR,0.0,0.0,0.04,29.14,29.87,2.7,8,6.9,0,21.0,10.0
812,1,2009-06-08,80.0,52.0,66.0,0.0,60.0,63.0,0.0,1.0,0417,1925,TSRA RA BR,0.0,0.0,0.45,29.06,29.77,5.9,24,9.2,0,28.0,6.0
814,1,2009-06-09,67.0,55.0,61.0,-5.0,53.0,56.0,4.0,0.0,0416,1925,DZ BR,0.0,0.0,0.1,29.23,29.94,4.0,6,6.3,0,12.0,8.0
816,1,2009-06-10,67.0,54.0,61.0,-6.0,49.0,53.0,4.0,0.0,0416,1926,RA,0.0,0.0,0.01,29.15,29.89,8.0,5,8.7,0,13.0,12.0
818,1,2009-06-11,64.0,53.0,59.0,-8.0,51.0,54.0,6.0,0.0,0416,1926,RA HZ,0.0,0.0,0.01,29.11,29.83,10.2,3,10.3,0,11.0,8.0
820,1,2009-06-12,74.0,49.0,62.0,-6.0,49.0,55.0,3.0,0.0,0416,1927,RA,0.0,0.0,0.1,29.24,29.95,4.4,7,5.8,0,25.0,13.0
822,1,2009-06-13,68.0,54.0,61.0,-7.0,51.0,55.0,4.0,0.0,0416,1927,RA BR,0.0,0.0,0.33,29.28,30.0,5.9,5,6.7,0,14.0,10.0
824,1,2009-06-14,77.0,51.0,64.0,-4.0,48.0,57.0,1.0,0.0,0416,1928, ,0.0,0.0,0.0,29.29,30.01,4.5,4,4.7,0,26.0,16.0
826,1,2009-06-15,81.0,53.0,67.0,-1.0,49.0,58.0,0.0,2.0,0416,1928, ,0.0,0.0,0.0,29.28,30.01,5.5,9,6.4,0,28.0,18.0
828,1,2009-06-16,71.0,59.0,65.0,-4.0,55.0,60.0,0.0,0.0,0416,1929,RA BR,0.0,0.0,1.23,29.15,29.89,11.2,10,11.8,0,12.0,10.0
830,1,2009-06-17,71.0,61.0,66.0,-3.0,59.0,62.0,0.0,1.0,0416,1929,BR HZ,0.0,0.0,0.0,29.16,29.88,3.0,36,6.2,0,10.0,7.0
832,1,2009-06-18,80.0,61.0,71.0,1.0,63.0,67.0,0.0,6.0,0416,1929,RA BR,0.0,0.0,0.12,29.08,,6.7,16,7.9,0,19.0,8.0
834,1,2009-06-19,86.0,65.0,76.0,6.0,67.0,69.0,0.0,11.0,0416,1930,TS TSRA BR,0.0,0.0,3.97,28.97,29.7,7.2,18,11.6,1,21.0,9.0
836,1,2009-06-20,87.0,68.0,78.0,8.0,65.0,70.0,0.0,13.0,0416,1930, ,0.0,0.0,0.0,29.08,29.76,8.3,29,8.6,1,19.0,13.0
838,1,2009-06-21,84.0,70.0,77.0,7.0,63.0,68.0,0.0,12.0,0416,1930, ,0.0,0.0,0.01,29.12,29.82,2.8,7,3.9,0,14.0,14.0
840,1,2009-06-22,89.0,68.0,79.0,9.0,67.0,71.0,0.0,14.0,0417,1931,TSRA RA,0.0,0.0,0.09,29.09,29.79,4.0,11,5.6,1,21.0,12.0
842,1,2009-06-23,94.0,71.0,83.0,13.0,69.0,73.0,0.0,18.0,0417,1931, ,0.0,0.0,0.0,29.16,29.87,1.8,14,3.5,1,23.0,14.0
844,1,2009-06-24,94.0,75.0,85.0,14.0,68.0,73.0,0.0,20.0,0417,1931,TSRA,0.0,0.0,0.04,29.16,29.87,1.9,22,5.8,1,19.0,17.0
846,1,2009-06-25,94.0,75.0,85.0,14.0,69.0,73.0,0.0,20.0,0417,1931, ,0.0,0.0,0.1,29.08,29.8,2.4,32,4.9,1,19.0,16.0
848,1,2009-06-26,86.0,69.0,78.0,7.0,60.0,,0.0,13.0,0418,1931, ,0.0,0.0,0.0,,29.85,6.4,4,8.2,0,17.0,18.0
850,1,2009-06-27,89.0,62.0,76.0,5.0,61.0,67.0,0.0,11.0,0418,1931,TS RA,0.0,0.0,0.3,29.1,29.82,5.1,21,6.9,0,27.0,15.0
852,1,2009-06-28,83.0,66.0,75.0,4.0,53.0,62.0,0.0,10.0,0419,1931, ,0.0,0.0,0.0,29.0,29.73,13.2,29,13.6,0,17.0,22.0
854,1,2009-06-29,77.0,63.0,70.0,-1.0,54.0,61.0,0.0,5.0,0419,1931, ,0.0,0.0,0.0,28.89,29.6,12.2,30,12.7,0,14.0,16.0
856,1,2009-06-30,66.0,59.0,63.0,-9.0,53.0,57.0,2.0,0.0,0419,1931, ,0.0,0.0,0.0,28.95,29.65,8.9,30,9.1,0,7.0,10.0
858,1,2009-07-01,65.0,57.0,61.0,-11.0,52.0,56.0,4.0,0.0,0420,1931,RA DZ,0.0,0.0,0.1,29.07,29.77,8.2,32,8.7,0,8.0,9.0
860,1,2009-07-02,73.0,59.0,66.0,-6.0,54.0,60.0,0.0,1.0,0420,1931, ,0.0,0.0,0.0,29.26,29.95,8.4,31,8.8,0,14.0,12.0
862,1,2009-07-03,79.0,63.0,71.0,-1.0,56.0,62.0,0.0,6.0,0421,1931, ,0.0,0.0,0.0,29.36,30.06,1.2,34,5.8,0,16.0,15.0
864,1,2009-07-04,69.0,59.0,64.0,-8.0,58.0,61.0,1.0,0.0,0422,1930,RA BR FU,0.0,0.0,0.2,29.26,29.99,1.8,13,3.8,0,10.0,6.0
866,1,2009-07-05,81.0,57.0,69.0,-3.0,58.0,63.0,0.0,4.0,0422,1930,RA BR HZ,0.0,0.0,0.05,29.2,29.92,0.7,34,2.4,0,24.0,11.0
868,1,2009-07-06,86.0,60.0,73.0,1.0,54.0,62.0,0.0,8.0,0423,1930, ,0.0,0.0,0.0,29.14,29.86,7.5,31,7.8,0,26.0,19.0
870,1,2009-07-07,77.0,59.0,68.0,-4.0,54.0,60.0,0.0,3.0,0423,1930,RA,0.0,0.0,0.1,29.18,29.89,5.9,7,7.0,0,18.0,14.0
872,1,2009-07-08,65.0,61.0,63.0,-10.0,56.0,59.0,2.0,0.0,0424,1929,RA,0.0,0.0,0.06,29.28,29.99,6.8,6,7.0,0,4.0,7.0
874,1,2009-07-09,79.0,59.0,69.0,-4.0,57.0,63.0,0.0,4.0,0425,1929, ,0.0,0.0,0.0,29.35,30.07,5.8,11,6.9,0,20.0,12.0
876,1,2009-07-10,82.0,63.0,73.0,0.0,64.0,67.0,0.0,8.0,0425,1929,RA BR,0.0,0.0,0.08,29.34,30.06,4.4,21,4.9,0,19.0,9.0
878,1,2009-07-11,85.0,63.0,74.0,1.0,59.0,65.0,0.0,9.0,0426,1928,TSRA BR HZ,0.0,0.0,0.25,29.34,30.04,4.8,31,7.0,0,22.0,15.0
880,1,2009-07-12,82.0,58.0,70.0,-3.0,51.0,60.0,0.0,5.0,0427,1928, ,0.0,0.0,0.0,29.35,30.07,2.9,29,5.7,0,24.0,19.0
882,1,2009-07-13,79.0,61.0,70.0,-3.0,46.0,57.0,0.0,5.0,0428,1927, ,0.0,0.0,0.0,29.36,30.07,4.8,7,5.8,0,18.0,24.0
884,1,2009-07-14,80.0,55.0,68.0,-5.0,51.0,59.0,0.0,3.0,0428,1927, ,0.0,0.0,0.0,29.34,30.07,6.7,16,7.5,0,25.0,17.0
